num_records,encode_no_test_s,encode_with_test_s,decode_no_test_s,decode_with_test_s
100,4.6e-05,0.046097,0.000104,0.043122
1000,0.000492,0.049979,0.000858,0.044273
2000,0.000839,0.045867,0.002193,0.042007
3000,0.001187,0.041112,0.00267,0.041552
4000,0.001568,0.041079,0.008,0.042711
5000,0.001961,0.041184,0.004731,0.045857
6000,0.002693,0.043551,0.005725,0.045948
7000,0.002803,0.044137,0.012984,0.048009
8000,0.003281,0.043422,0.00728,0.045955
9000,0.003381,0.043015,0.016637,0.047156
10000,0.004067,0.04478,0.009058,0.057384
